Liv__1 Liv__2 Liv__3 Liv__4 Liv__5 Myo__1 Myo__2 Myo__3 Myo__4 Myo__5
Acot13 30.4803672520216 30.5053505581129 30.2887563199367 30.2898410153308 30.4413908036221 30.5961306320386 30.5352523110257 30.5428144575314 30.4492917817152 30.2906671849001
Acot2 26.2417319796214 26.0913596886057 26.3729640960114 27.1006509621204 26.4344657362559 28.0551464496457 27.9484292905662 27.641024187161 27.6165148371217 27.243925776519
Acot3 26.1090162369451 26.1992411774967 26.2999953682986 26.8488577291143 26.1015516411205 NA NA NA NA NA
Acot4 24.0799186504548 24.8043490138087 24.2584193541432 24.89768136649 24.6300145483553 NA NA NA NA NA
Acot7 25.5694488305384 26.3598923277594 25.7850627483201 26.0168001291655 26.1090626023061 NA NA NA NA NA
Acot8 25.3870144617058 NA 25.9992327993616 NA 25.5520899919842 NA NA NA NA NA
Acox1 32.9530636603821 33.1161598469533 33.4298533144695 33.476934484482 33.5471966031166 NA 25.0986578324717 NA 23.9435968508384 24.4662911858999
Acox2 27.9449734368276 27.8288139592236 27.9664319999937 27.4740018623948 28.0832948379197 NA NA NA NA NA
Acox3 NA 19.9426248618898 NA NA NA 24.9879442796222 23.8081235720244 22.1227567342228 24.5843025881857 NA
Acp1 27.6488152357963 27.4767538929951 26.7392631174811 27.1333352278139 27.5670196749093 28.9960652032644 28.5083294394784 28.6120215464073 28.5224598983742 28.852176964631
Acp6 28.1112459726817 27.9122402607811 28.0355640081268 27.8489425561048 28.1794554552465 NA 26.541857267935 26.8569638991122 26.8882539809973 26.4265472706983
Acsf2 33.1906972687337 33.1974551288164 32.8858433743107 32.3873496081005 33.1142628070998 NA NA NA NA NA
Acsf3 26.4708832310592 26.6854169676846 26.6241105650024 26.7442962536503 26.5745449269089 NA NA NA NA NA
Acsl1 33.571724043911 33.2862412296261 33.3897834650569 33.0794567398513 33.540350656154 33.0938838662097 32.9743623172985 33.1098384613567 32.8014249816933 32.7427998104561
Acsl5 31.2767172483389 31.0961286555077 30.9683724638265 30.889156231133 31.0323672926846 NA NA NA NA NA
Acsm1 33.8409070518235 34.0665827394487 32.3724109010587 32.1844001385548 33.9014903984917 NA 25.6438075066465 22.9088773725193 23.5561933982264 22.4649129051075
Acsm3 29.6311355654948 29.5952052865159 29.4558613536303 29.0732846229062 29.5770892451789 NA NA NA 27.5193118411204 NA
Acsm5 30.5551372205141 30.7634687399398 30.5987181118745 30.4285511916662 30.729319769604 NA NA NA NA NA
Acss2 28.0472452047651 28.2740848208944 28.2548286077598 28.0728489059801 28.1998614678721 NA NA NA NA NA
Acss3 26.8026467028423 26.906131634644 27.2857105164671 27.3579745439078 27.1396783581327 NA NA 26.2035300219658 NA NA
Acta1 35.2403092794011 35.0752966657722 34.9212532739035 34.7550129484705 35.1600043686141 39.9999764615936 39.7743257703779 40.537763667193 39.896417219133 39.8504998674477
Acta2 26.0965353540587 25.5761710715701 25.4499667678228 25.1345326816145 NA NA 27.7766241064102 29.4642736306061 NA 28.0643891704181
Actb 26.4596139529352 27.1813431866593 26.5015909447943 25.670842803889 26.8288859429363 NA 26.7229606046989 NA 27.3005587410602 27.0781752129297
Actc1 28.3071786854847 24.3069984315832 NA 24.9455255797376 24.144323557848 34.1032363265859 34.4058034018722 30.4648340637649 34.2583441224888 33.8731725721122
Actc1.1 NA NA NA NA NA 29.6126869225322 29.6954064589722 30.5724995069317 29.70896235578 30.0462240351472
Actg1 33.7383894014393 34.2077289682295 33.922817690256 33.8023232262919 34.0097835188008 33.3260038860476 32.7034674590402 33.1310688419955 32.420676753051 32.1746863616715
Actn1 29.966551026587 29.924787666341 29.4361088056593 28.9348078167247 29.6468221986403 33.2485802246596 32.9474248188752 33.1575270100201 33.3492044785021 33.2756987807329
Actn2 22.1713481341252 19.9119583606079 19.6492040406446 20.1933328379739 20.1901445846632 36.6310252447732 32.4840256048642 36.57989906066 36.3405040505049 36.3637703166502
Actn3 23.4723324476963 21.4450423308594 21.1090262879436 21.2222456995684 20.078342721485 38.0643424647344 37.8526541310629 38.1330673689666 37.9931645477216 38.0629235393296
Actn4 32.1045303848977 32.1067458165454 32.4576773398065 32.3109320633802 32.0935543546036 34.5720905269383 34.8714561511401 34.5507056955727 34.5813044518236 34.7019412717944
Actr1a 26.8069142110585 26.9306685881215 27.5156332075599 26.8423962401408 26.9994400591861 NA 28.4816571257702 28.3900591422688 27.6914127958717 27.9879880945713
Actr1b 25.4381481315201 25.9838004946924 25.5675720510736 26.1549034710474 25.5724632858411 NA NA 27.9855074597735 27.42919980616 27.7677343400877
Actr2 29.897544952777 29.9025454073181 29.9715349696352 28.9572506327233 30.1361773518706 NA 23.4730340324163 NA 24.2539710624483 25.9522272962426
Actr3 28.5174513374317 28.7112893035439 28.3644182764617 28.3675392766534 28.6922720869228 27.0194031584193 26.5413636294443 26.6582381814495 NA NA
Acy1 27.4515779506065 28.0021956881861 28.6737626906839 28.2935231130778 28.5060361489787 NA NA 27.0133734109291 27.3893423491128 NA
Acy3 28.2377861093795 27.8040974110209 28.133580374892 28.035547165355 28.3305558549018 NA NA NA NA NA
Acyp1 26.3476678502117 26.2692322496118 26.4563693547846 26.8672330370527 25.9897271709373 NA 26.9213542565667 NA 27.0089111725955 26.9474311800958
Acyp2 21.9862326170738 20.9417034449073 23.4507148243787 21.1497949844675 22.8306647301153 31.0781524022269 30.922214670745 31.8648752567413 31.2349214233474 31.3927937967868
Add1 24.7070079505441 24.7003952651344 24.7198927779109 24.8556112898497 24.5341620941633 NA NA NA NA NA
Adh1 36.1323321520863 36.114560853857 36.1330608169027 35.6399246786517 36.0753797765988 29.668222678131 29.2524709876031 28.4692259180378 27.0200905779419 27.8532618725928
Adh4 26.6760004785762 26.2756987243432 26.738984775082 26.8518237101543 26.1505802967197 NA NA NA NA NA
Adh5 33.4512335007123 33.3010722714803 33.1842983277583 32.8872473240112 33.4410232848222 31.1606841119352 31.1863896510616 31.5844109040183 31.0105410693146 31.3342636891056
Adhfe1 29.2481424106332 30.2698228438062 29.0487246306741 29.9896196497316 30.1785033790976 NA NA NA NA 23.7007078167424
Adi1 27.4501551743167 27.7239057606153 27.9255567578665 27.3318102621831 27.7360222255461 NA NA NA NA NA
Adipoq 25.0691764532665 NA NA NA NA NA 27.7926134481486 28.1488471646713 27.6708125776952 27.8531069356823
Adk 33.3311727740313 33.3123779113343 33.2156853973713 32.7389393743057 33.1646583624668 27.465754352074 28.3209934447261 27.3594632350075 28.6199632373953 27.841048425979
