Protein.ID Gene.Name name ID
196 ENSMUSP00000103015 Anpep Anpep ENSMUSP00000103015
197 ENSMUSP00000158429 Anxa1 Anxa1 ENSMUSP00000158429
198 ENSMUSP00000022416 Anxa11 Anxa11 ENSMUSP00000022416
199 ENSMUSP00000034756 Anxa2 Anxa2 ENSMUSP00000034756
200 ENSMUSP00000031447 Anxa3 Anxa3 ENSMUSP00000031447
201 ENSMUSP00000109305 Anxa4 Anxa4 ENSMUSP00000109305
202 ENSMUSP00000029266 Anxa5 Anxa5 ENSMUSP00000029266
203 ENSMUSP00000099788 Anxa6 Anxa6 ENSMUSP00000099788
204 ENSMUSP00000153669 Anxa7 Anxa7 ENSMUSP00000153669
205 ENSMUSP00000001027 Aox1 Aox1 ENSMUSP00000001027
206 ENSMUSP00000110006 Aox2 Aox2 ENSMUSP00000110006
207 ENSMUSP00000049391 Aox3 Aox3 ENSMUSP00000049391
208 ENSMUSP00000009234 Ap1b1 Ap1b1 ENSMUSP00000009234
209 ENSMUSP00000003117 Ap1m1 Ap1m1 ENSMUSP00000003117
210 ENSMUSP00000127497 Ap2a1 Ap2a1 ENSMUSP00000127497
211 ENSMUSP00000003038 Ap2a2 Ap2a2 ENSMUSP00000003038
212 ENSMUSP00000070714 Ap2b1 Ap2b1 ENSMUSP00000070714
213 ENSMUSP00000087477 Ap2m1 Ap2m1 ENSMUSP00000087477
214 ENSMUSP00000146195 Ap2s1 Ap2s1 ENSMUSP00000146195
215 ENSMUSP00000022196 Ap3b1 Ap3b1 ENSMUSP00000022196
216 ENSMUSP00000020420 Ap3d1 Ap3d1 ENSMUSP00000020420
217 ENSMUSP00000153649 Ap3m1 Ap3m1 ENSMUSP00000153649
218 ENSMUSP00000080058 Apeh Apeh ENSMUSP00000080058
219 ENSMUSP00000123148 Apex1 Apex1 ENSMUSP00000123148
220 ENSMUSP00000028617 Api5 Api5 ENSMUSP00000028617
221 ENSMUSP00000011055 Apip Apip ENSMUSP00000011055
222 ENSMUSP00000040840 Apmap Apmap ENSMUSP00000040840
223 ENSMUSP00000034588 Apoa1 Apoa1 ENSMUSP00000034588
224 ENSMUSP00000106953 Apoa2 Apoa2 ENSMUSP00000106953
225 ENSMUSP00000034585 Apoa4 Apoa4 ENSMUSP00000034585
226 ENSMUSP00000113413 Apoa5 Apoa5 ENSMUSP00000113413
227 ENSMUSP00000035761 Apob Apob ENSMUSP00000035761
228 ENSMUSP00000104091 Apoc1 Apoc1 ENSMUSP00000104091
229 ENSMUSP00000113058 Apoc3 Apoc3 ENSMUSP00000113058
230 ENSMUSP00000134160 Apoe Apoe ENSMUSP00000134160
231 ENSMUSP00000000049 Apoh Apoh ENSMUSP00000000049
232 ENSMUSP00000109529 Apoo Apoo ENSMUSP00000109529
233 ENSMUSP00000026599 Apool Apool ENSMUSP00000026599
234 ENSMUSP00000006764 Aprt Aprt ENSMUSP00000006764
235 ENSMUSP00000004774 Aqp1 Aqp1 ENSMUSP00000004774
236 ENSMUSP00000109200 Aqp9 Aqp9 ENSMUSP00000109200
237 ENSMUSP00000034607 Arcn1 Arcn1 ENSMUSP00000034607
238 ENSMUSP00000126120 Arf1 Arf1 ENSMUSP00000126120
239 ENSMUSP00000155713 Arf4 Arf4 ENSMUSP00000155713
240 ENSMUSP00000127281 Arf5 Arf5 ENSMUSP00000127281
241 ENSMUSP00000055862 Arf6 Arf6 ENSMUSP00000055862
242 ENSMUSP00000104488 Arfgap1 Arfgap1 ENSMUSP00000104488
243 ENSMUSP00000078920 Arfgap2 Arfgap2 ENSMUSP00000078920
244 ENSMUSP00000096677 Arfgef2 Arfgef2 ENSMUSP00000096677
245 ENSMUSP00000122964 Arfip1 Arfip1 ENSMUSP00000122964
246 ENSMUSP00000020161 Arg1 Arg1 ENSMUSP00000020161
247 ENSMUSP00000039493 Arglu1 Arglu1 ENSMUSP00000039493
248 ENSMUSP00000101803 Arhgdia Arhgdia ENSMUSP00000101803
249 ENSMUSP00000107523 Arhgdib Arhgdib ENSMUSP00000107523
250 ENSMUSP00000111942 Arl1 Arl1 ENSMUSP00000111942
251 ENSMUSP00000158118 Arl3 Arl3 ENSMUSP00000158118
252 ENSMUSP00000041503 Arl6ip5 Arl6ip5 ENSMUSP00000041503
253 ENSMUSP00000145035 Arl8b Arl8b ENSMUSP00000145035
254 ENSMUSP00000031625 Arpc1a Arpc1a ENSMUSP00000031625
255 ENSMUSP00000082822 Arpc1b Arpc1b ENSMUSP00000082822
256 ENSMUSP00000109451 Arpc2 Arpc2 ENSMUSP00000109451
257 ENSMUSP00000099584 Arpc3 Arpc3 ENSMUSP00000099584
258 ENSMUSP00000114839 Arpc4 Arpc4 ENSMUSP00000114839
259 ENSMUSP00000076933 Arpc5 Arpc5 ENSMUSP00000076933
260 ENSMUSP00000132802 Arpp19 Arpp19 ENSMUSP00000132802
261 ENSMUSP00000088964 Arsb Arsb ENSMUSP00000088964
262 ENSMUSP00000003655 As3mt As3mt ENSMUSP00000003655
263 ENSMUSP00000034000 Asah1 Asah1 ENSMUSP00000034000
264 ENSMUSP00000121842 Asgr1 Asgr1 ENSMUSP00000121842
265 ENSMUSP00000136505 Asgr2 Asgr2 ENSMUSP00000136505
266 ENSMUSP00000124579 Asl Asl ENSMUSP00000124579
267 ENSMUSP00000065337 Asna1 Asna1 ENSMUSP00000065337
268 ENSMUSP00000078369 Aspg Aspg ENSMUSP00000078369
269 ENSMUSP00000103977 Asph Asph ENSMUSP00000103977
270 ENSMUSP00000128940 Aspscr1 Aspscr1 ENSMUSP00000128940
271 ENSMUSP00000051709 Asrgl1 Asrgl1 ENSMUSP00000051709
272 ENSMUSP00000099904 Ass1 Ass1 ENSMUSP00000099904
273 ENSMUSP00000157972 Atad1 Atad1 ENSMUSP00000157972
274 ENSMUSP00000030903 Atad3a Atad3a ENSMUSP00000030903
275 ENSMUSP00000023343 Atg3 Atg3 ENSMUSP00000023343
276 ENSMUSP00000138651 Atg7 Atg7 ENSMUSP00000138651
277 ENSMUSP00000027384 Atic Atic ENSMUSP00000027384
278 ENSMUSP00000108056 Atl2 Atl2 ENSMUSP00000108056
279 ENSMUSP00000132619 Atl3 Atl3 ENSMUSP00000132619
280 ENSMUSP00000104485 Atox1 Atox1 ENSMUSP00000104485
281 ENSMUSP00000145778 Atp11c Atp11c ENSMUSP00000145778
282 ENSMUSP00000039657 Atp1a1 Atp1a1 ENSMUSP00000039657
283 ENSMUSP00000095072 Atp1a2 Atp1a2 ENSMUSP00000095072
284 ENSMUSP00000106874 Atp1a4 Atp1a4 ENSMUSP00000106874
285 ENSMUSP00000027863 Atp1b1 Atp1b1 ENSMUSP00000027863
286 ENSMUSP00000034983 Atp1b3 Atp1b3 ENSMUSP00000034983
287 ENSMUSP00000032974 Atp2a1 Atp2a1 ENSMUSP00000032974
288 ENSMUSP00000136104 Atp2a2 Atp2a2 ENSMUSP00000136104
289 ENSMUSP00000155024 Atp5a1 Atp5a1 ENSMUSP00000155024
290 ENSMUSP00000026459 Atp5b Atp5b ENSMUSP00000026459
291 ENSMUSP00000110546 Atp5c1 Atp5c1 ENSMUSP00000110546
292 ENSMUSP00000101006 Atp5d Atp5d ENSMUSP00000101006
293 ENSMUSP00000113022 Atp5f1 Atp5f1 ENSMUSP00000113022
294 ENSMUSP00000137071 Atp5h Atp5h ENSMUSP00000137071
295 ENSMUSP00000109831 Atp5j Atp5j ENSMUSP00000109831
296 ENSMUSP00000051222 Atp5k Atp5k ENSMUSP00000051222
297 ENSMUSP00000047960 Atp5l Atp5l ENSMUSP00000047960
298 ENSMUSP00000158561 Atp5md Atp5md ENSMUSP00000158561
299 ENSMUSP00000152618 Atp5mpl Atp5mpl ENSMUSP00000152618
300 ENSMUSP00000023677 Atp5o Atp5o ENSMUSP00000023677
301 ENSMUSP00000019231 Atp6ap1 Atp6ap1 ENSMUSP00000019231
302 ENSMUSP00000013304 Atp6v0d1 Atp6v0d1 ENSMUSP00000013304
303 ENSMUSP00000110314 Atp6v1a Atp6v1a ENSMUSP00000110314
304 ENSMUSP00000006435 Atp6v1b2 Atp6v1b2 ENSMUSP00000006435
305 ENSMUSP00000155467 Atp6v1c1 Atp6v1c1 ENSMUSP00000155467
306 ENSMUSP00000021536 Atp6v1d Atp6v1d ENSMUSP00000021536
307 ENSMUSP00000019354 Atp6v1e1 Atp6v1e1 ENSMUSP00000019354
308 ENSMUSP00000004396 Atp6v1f Atp6v1f ENSMUSP00000004396
309 ENSMUSP00000118379 Atp8a1 Atp8a1 ENSMUSP00000118379
310 ENSMUSP00000133099 Atpif1 Atpif1 ENSMUSP00000133099
311 ENSMUSP00000123784 Atxn2 Atxn2 ENSMUSP00000123784
312 ENSMUSP00000125881 Atxn2l Atxn2l ENSMUSP00000125881
313 ENSMUSP00000115729 AU022252 AU022252 ENSMUSP00000115729
314 ENSMUSP00000021913 Auh Auh ENSMUSP00000021913
315 ENSMUSP00000038559 Azgp1 Azgp1 ENSMUSP00000038559
316 ENSMUSP00000099534 B2m B2m ENSMUSP00000099534
317 ENSMUSP00000129603 Baat Baat ENSMUSP00000129603
318 ENSMUSP00000128351 Babam2 Babam2 ENSMUSP00000128351
319 ENSMUSP00000033136 Bag3 Bag3 ENSMUSP00000033136
320 ENSMUSP00000099310 Baiap2 Baiap2 ENSMUSP00000099310
321 ENSMUSP00000053129 Baiap2l1 Baiap2l1 ENSMUSP00000053129
322 ENSMUSP00000127816 Baiap2l2 Baiap2l2 ENSMUSP00000127816
323 ENSMUSP00000158117 Banf1 Banf1 ENSMUSP00000158117
324 ENSMUSP00000046302 Bbox1 Bbox1 ENSMUSP00000046302
325 ENSMUSP00000002091 Bcap31 Bcap31 ENSMUSP00000002091
326 ENSMUSP00000029367 Bche Bche ENSMUSP00000029367
327 ENSMUSP00000071292 Bckdha Bckdha ENSMUSP00000071292
328 ENSMUSP00000140598 Bckdhb Bckdhb ENSMUSP00000140598
