"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000026249"	-2.16650428406478	1.52887676112449	1.65990627410442e-28	1.0994087743732e-26
"ENSMUSG00000003346"	1.5481629015976	5.65866220186929	2.21678480500865e-28	1.46169248080258e-26
"ENSMUSG00000060224"	1.25662360627606	4.54701947245219	2.75707997533504e-28	1.80986983269771e-26
"ENSMUSG00000040584"	2.21232968219289	3.83819475951466	4.55745661765732e-28	2.97847939127427e-26
"ENSMUSG00000040268"	1.43246514029286	4.41865913219613	5.87050413485418e-28	3.81970687540952e-26
"ENSMUSG00000050335"	2.89949926235123	3.61125940936821	5.90268911238943e-28	3.82380342938561e-26
"ENSMUSG00000046324"	1.25631586302683	6.3419933051317	7.3866483062957e-28	4.76422687703002e-26
"ENSMUSG00000091542"	-5.68112731401188	-0.325902743306615	8.05683486941197e-28	5.17388917483543e-26
"ENSMUSG00000005220"	3.29043260080456	0.865903208033016	1.00126432283974e-27	6.40202339755106e-26
"ENSMUSG00000059327"	2.03590700844389	3.04872022833019	1.29002495119239e-27	8.21278815909983e-26
"ENSMUSG00000026796"	1.56261387756288	3.00915928307003	1.50406413011777e-27	9.49788400699913e-26
"ENSMUSG00000025003"	1.47891554136978	3.92462508519639	1.50474262534719e-27	9.49788400699913e-26
"ENSMUSG00000058620"	1.83200811654948	2.47452517311019	1.71394638987357e-27	1.07723353950777e-25
"ENSMUSG00000036019"	-1.40810228018995	3.96276417726085	2.29318446313662e-27	1.43518366612406e-25
"ENSMUSG00000085826"	-2.19893603172539	2.00668384623028	2.49094265904225e-27	1.55237228160565e-25
"ENSMUSG00000021957"	1.28917823401761	7.06508729912808	2.80022857859259e-27	1.73778891200893e-25
"ENSMUSG00000025089"	-1.68945709973306	8.17053594149967	2.99889728555016e-27	1.85329342709523e-25
"ENSMUSG00000022883"	2.11277045833681	4.50383890707717	5.13883823289967e-27	3.15570415283226e-25
"ENSMUSG00000058207"	-1.41486486579793	12.4217025498388	5.14911781200117e-27	3.15570415283226e-25
"ENSMUSG00000026628"	2.78265593864365	1.95659189294478	5.80381099573851e-27	3.54224332260569e-25
"ENSMUSG00000063506"	3.73200024109767	0.398070877659958	6.5786089513495e-27	3.9986030539684e-25
"ENSMUSG00000042041"	2.57520513372126	5.06382481494372	8.83978799549105e-27	5.35097002841815e-25
"ENSMUSG00000041219"	2.17665347030656	1.43451004612412	9.44450287815461e-27	5.69368602083035e-25
"ENSMUSG00000024654"	1.15595970655512	4.47004588416246	1.17790266060575e-26	7.0722041858321e-25
"ENSMUSG00000020142"	2.19415106261731	2.10760245045453	1.21883840401766e-26	7.28835758191935e-25
